party,region,name,twitter,uri
Conservative Party,London,Marina Yannakoudakis,MarinaMEP,http://dbpedia.org/resource/Marina_Yannakoudakis
Conservative Party,London,Caroline Attfield,
Conservative Party,London,Lynne Hack,
Conservative Party,London,Sheila Lawlor,
Conservative Party,London,Glyn Chambers,
Conservative Party,London,Annesley Abercorn,
Conservative Party,South East England,Daniel Hannan,DanHannanMEP,http://dbpedia.org/resource/Daniel_Hannan
Conservative Party,South East England,Nirj Deva,NirjDeva,http://dbpedia.org/resource/Nirj_Deva
Conservative Party,South East England,Richard Ashworth,RichardAshMEP
Conservative Party,South East England,Marta Andreasen,mandreasen,http://dbpedia.org/resource/Marta_Andreasen
Conservative Party,South East England,Richard Robinson,RRsoutheast
Conservative Party,South East England,Graham Knight,GrahamKNIGHT2
Conservative Party,South East England,Julie Marson,JulieMarson
Conservative Party,South East England,George Jeffrey,
Conservative Party,South East England,Rory Love,
Conservative Party,South East England,Adrian Pepper,thepepperview
Conservative Party,Northern Ireland,Mark Brotherston,MarkBrotherston
Conservative Party,Wales,Kay Swinburne,,http://dbpedia.org/resource/Kay_Swinburne
Conservative Party,Wales,Aled Davies,Aled_Glanogeu
Conservative Party,Wales,Dan Boucher,Dan4SwanseaEast
Conservative Party,Wales,Richard Hopkin,RichardHopkin
Conservative Party,South West England,Ashley Fox,Ashleyfoxmep,http://dbpedia.org/resource/Ashley_Fox
Conservative Party,South West England,Julie Girling,juliegirling,http://dbpedia.org/resource/Julie_Girling
Conservative Party,South West England,James Cracknell,JamesCracknell
Conservative Party,South West England,Georgina Butler,gbdiplo
Conservative Party,South West England,Sophie Swire,SwireSophie
Conservative Party,South West England,Melissa Maynard,mmaynard4mep
Britain First,Wales,Paul Golding,
Britain First,Wales,Anthony Golding,
Britain First,Wales,Christine Smith,
Britain First,Wales,Anne Elstone,
Britain First,Scotland,James Dowson,
Britain First,Scotland,John Randall,
Britain First,Scotland,Jayda Fransen,
Britain First,Scotland,Geoffrey Clynch,
Britain First,Scotland,Margaret Clynch,
Britain First,Scotland,Jane Shepherd,
Socialist Party of Great Britain,South East England,Dave Chesham,whichfinder
Socialist Party of Great Britain,South East England,Rob Cox,
Socialist Party of Great Britain,South East England,Les Courtney,
Socialist Party of Great Britain,South East England,Sean Deegan,thewealthatom
Socialist Party of Great Britain,South East England,Max Hess,
Socialist Party of Great Britain,South East England,Claudia Hogg-Blake,
Socialist Party of Great Britain,South East England,Danny Lambert,
Socialist Party of Great Britain,South East England,Andy Matthews,
Socialist Party of Great Britain,South East England,Howard Pilott,
Socialist Party of Great Britain,South East England,Mike Young,
Socialist Party of Great Britain,Wales,Brian Johnson,
Socialist Party of Great Britain,Wales,Richard Cheney,
Socialist Party of Great Britain,Wales,Ed Blewitt,
Socialist Party of Great Britain,Wales,Howard Moss,
Labour Party,North East England,Judith Kirton-Darling,Jude_KD
Labour Party,North East England,Paul Brannen,PaulBrannenNE
Labour Party,North East England,Jayne Shotton,jshttn
Labour Party,Yorkshire and the Humber,Linda McAvan,LindaMcAvanMEP,http://dbpedia.org/resource/Linda_McAvan
Labour Party,Yorkshire and the Humber,Richard Corbett,RichardC2014,http://dbpedia.org/resource/Richard_Corbett
Labour Party,Yorkshire and the Humber,Eleanor Tunnicliffe,ejtunnicliffe
Labour Party,Yorkshire and the Humber,Asghar Khan,asgharlab
Labour Party,Yorkshire and the Humber,Helen Mirfin-Boukouris,MirfinBoukouris
Labour Party,Yorkshire and the Humber,Darren Hughes,darrenjlhughes
Labour Party,East of England,Richard Howitt,richardhowitt,http://dbpedia.org/resource/Richard_Howitt_(politician)
Labour Party,East of England,Alex Mayer,alexlmayer
Labour Party,East of England,Sandy Martin,sandyofipswich
Labour Party,East of England,Bhavna Joshi,BhavnaJoshi
Labour Party,East of England,Paul Bishop,
Labour Party,East of England,Jane Basham,Jane_Basham
Labour Party,East of England,Chris Ostrowski,
Labour Party,North West England,Theresa Griffin,TheresaG_EU
Labour Party,North West England,Afzal Khan,cllrakhan
Labour Party,North West England,Julie Ward,julie4nw
Labour Party,North West England,Wajid Khan,wajid4europe,http://dbpedia.org/resource/Wajid_Khan
Labour Party,North West England,Angeliki Stogia,Angeliki4eu
Labour Party,North West England,Steve Carter,SteveCarter001
Labour Party,North West England,Pascale Lamb,PascaleLamb
Labour Party,North West England,Nick Parnell,
